match_id,player,surface,tournament,date,serve_pts,return_pts,winners,winners_fh,winners_bh,unforced,unforced_fh,unforced_bh,source_note
20260708-M-Wimbledon-QF-Arthur_Fery-Flavio_Cobolli,Arthur Fery,grass,Wimbledon,20260708,118,110,27,16,11,15,8,7,BBC Sport QF stats — 27 winners 15 UE; pts estimated from game count
20260706-M-Wimbledon-R16-Arthur_Fery-Grigor_Dimitrov,Arthur Fery,grass,Wimbledon,20260706,145,138,32,19,13,22,11,11,Estimated from 5-set Centre Court match (~4h) — fill when official stats available
